,fk_item,count,percantage(%)
0,"('c5bfe4f356ddf73f1becccb448701e7a', 'fddabaa5371c4503bfe71a2404c1b39f')",104,0.48
1,"('fddabaa5371c4503bfe71a2404c1b39f', 'c5bfe4f356ddf73f1becccb448701e7a')",89,0.41
2,"('84f1682e5e7f23f5336afaaf634da310', '006e12281d6aa342fca882f3a2b8f914')",85,0.39
3,"('006e12281d6aa342fca882f3a2b8f914', '84f1682e5e7f23f5336afaaf634da310')",84,0.39
4,"('4c2530af1cffe3bdab38adb6ba1a55d1', '910ce7fc300ada905ffd67a2ab7198e8')",79,0.37
5,"('84f1682e5e7f23f5336afaaf634da310', '95bd8e77c045c2d6cec27fb8a9c0c8b4')",78,0.36
6,"('84f1682e5e7f23f5336afaaf634da310', '0372fd0b3db8cb7774aecf60b83092dc')",74,0.34
7,"('0372fd0b3db8cb7774aecf60b83092dc', '84f1682e5e7f23f5336afaaf634da310')",72,0.33
8,"('95bd8e77c045c2d6cec27fb8a9c0c8b4', '10788a8cd8a762a275c6ccc41150362a')",72,0.33
9,"('95bd8e77c045c2d6cec27fb8a9c0c8b4', '84f1682e5e7f23f5336afaaf634da310')",72,0.33
